uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
2019360,Chicago,26A,false pretenses/swindle/confidence game,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-03-14 11:30,-87.625513,41.768789,other transportation,transportation,170316903002000
2019632,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-14 17:10,-87.696556,41.765407,green space,open space,170316609003007
2019726,Chicago,90Z,all other offenses,all other offenses,other,2012-03-14 19:24,-87.76194,41.887722,green space,open space,170312515004015
2019741,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-14 19:30,-87.657306,41.985496,street,street,170310306032000
2019749,Chicago,13A,aggravated assault,assault offenses,persons,2012-03-14 19:43,-87.671479,41.778646,residence,residence,170316713001006
2019819,Chicago,40C,purchasing prostitution,prostitution offenses,society,2012-03-14 20:45,-87.744861,41.869447,street,street,170318314001039
2019996,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-15 00:00,-87.628495,41.885752,street,street,170318391001021
2020204,Chicago,90J,trespass of real property,trespass of real property,society,2012-03-15 07:35,-87.543709,41.755643,other,other,170314314003001
2020321,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-03-15 10:00,-87.627231,41.712053,residence,residence,170314907001010
2020396,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-03-15 12:00,-87.655498,41.760484,other,other,170316718001025
2020428,Chicago,13B,simple assault,assault offenses,persons,2012-03-15 12:30,-87.732188,41.900748,residence,residence,170318421004011
2020439,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-03-15 12:45,-87.598557,41.816455,supermarket,retail,170313901001006
2020463,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-15 13:05,-87.69594,41.867858,other open space,open space,170318433001003
2020617,Chicago,250,counterfeiting/forgery,counterfeiting/forgery,property,2012-03-15 16:10,-87.670234,41.99651,finance,commercial,170310302004009
2020639,Chicago,13B,simple assault,assault offenses,persons,2012-03-15 16:40,-87.617697,41.674081,street,street,170315306001016
2020640,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-15 16:41,-87.641911,41.808928,street,street,170318426004024
2020747,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-15 19:00,-87.718981,41.805044,other,other,170315704002003
2021028,Chicago,23D,theft from building,larceny/theft offenses,property,2012-03-16 01:00,-87.646181,41.697225,residence,residence,170317501001005
2021111,Chicago,90Z,all other offenses,all other offenses,other,2012-03-16 07:00,-87.624522,41.88604,other,other,170313201002030
2021312,Chicago,23D,theft from building,larceny/theft offenses,property,2012-03-16 11:30,-87.602679,41.774994,residence,residence,170314208002013
2021361,Chicago,13B,simple assault,assault offenses,persons,2012-03-16 12:30,-87.652928,41.766084,other,other,170316811005015
2021468,Chicago,13B,simple assault,assault offenses,persons,2012-03-16 15:00,-87.66526,41.993814,street,street,170310302002003
2021589,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-03-16 17:00,-87.657667,41.693083,residence,residence,170317501004032
2021594,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-16 17:15,-87.644017,41.930906,other retail,retail,170310701021000
2021642,Chicago,13B,simple assault,assault offenses,persons,2012-03-16 18:05,-87.614572,41.765722,other,other,170316909005002
2021651,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-03-16 18:30,-87.783357,41.909677,healthcare,healthcare,170312504005015
2021706,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-16 19:30,-87.70883,41.849046,school,education,170313008001023
2021761,Chicago,13B,simple assault,assault offenses,persons,2012-03-16 20:30,-87.624884,41.827266,street,street,170313514001015
2022004,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-17 01:00,-87.700763,41.956523,street,street,170311606023007
2022067,Chicago,13A,aggravated assault,assault offenses,persons,2012-03-17 02:00,-87.642088,41.683196,restaurant,leisure,170315302004013
2022159,Chicago,13B,simple assault,assault offenses,persons,2012-03-17 05:45,-87.577086,41.765286,residence,residence,170314305001006
